"","target","Tm1","Tm2","Tm3","Tm4","Tm5"
"2004-03-10 23:00:00",1197,1272,1376,1402,1292,1360
"2004-03-11 00:00:00",1185,1197,1272,1376,1402,1292
"2004-03-11 01:00:00",1136,1185,1197,1272,1376,1402
"2004-03-11 02:00:00",1094,1136,1185,1197,1272,1376
"2004-03-11 03:00:00",1010,1094,1136,1185,1197,1272
"2004-03-11 04:00:00",1011,1010,1094,1136,1185,1197
"2004-03-11 05:00:00",1066,1011,1010,1094,1136,1185
"2004-03-11 06:00:00",1052,1066,1011,1010,1094,1136
"2004-03-11 07:00:00",1144,1052,1066,1011,1010,1094
"2004-03-11 08:00:00",1333,1144,1052,1066,1011,1010
"2004-03-11 09:00:00",1351,1333,1144,1052,1066,1011
"2004-03-11 10:00:00",1233,1351,1333,1144,1052,1066
"2004-03-11 11:00:00",1179,1233,1351,1333,1144,1052
"2004-03-11 12:00:00",1236,1179,1233,1351,1333,1144
"2004-03-11 13:00:00",1286,1236,1179,1233,1351,1333
"2004-03-11 14:00:00",1371,1286,1236,1179,1233,1351
"2004-03-11 15:00:00",1310,1371,1286,1236,1179,1233
"2004-03-11 16:00:00",1292,1310,1371,1286,1236,1179
"2004-03-11 17:00:00",1383,1292,1310,1371,1286,1236
"2004-03-11 18:00:00",1581,1383,1292,1310,1371,1286
"2004-03-11 19:00:00",1776,1581,1383,1292,1310,1371
"2004-03-11 20:00:00",1640,1776,1581,1383,1292,1310
"2004-03-11 21:00:00",1313,1640,1776,1581,1383,1292
"2004-03-11 22:00:00",965,1313,1640,1776,1581,1383
"2004-03-11 23:00:00",913,965,1313,1640,1776,1581
"2004-03-12 00:00:00",1080,913,965,1313,1640,1776
"2004-03-12 01:00:00",1044,1080,913,965,1313,1640
"2004-03-12 02:00:00",988,1044,1080,913,965,1313
"2004-03-12 03:00:00",889,988,1044,1080,913,965
"2004-03-12 04:00:00",831,889,988,1044,1080,913
"2004-03-12 05:00:00",847,831,889,988,1044,1080
"2004-03-12 06:00:00",927,847,831,889,988,1044
"2004-03-12 07:00:00",1091,927,847,831,889,988
"2004-03-12 08:00:00",1587,1091,927,847,831,889
"2004-03-12 09:00:00",1545,1587,1091,927,847,831
"2004-03-12 10:00:00",1350,1545,1587,1091,927,847
"2004-03-12 11:00:00",1263,1350,1545,1587,1091,927
"2004-03-12 12:00:00",1206,1263,1350,1545,1587,1091
"2004-03-12 13:00:00",1252,1206,1263,1350,1545,1587
"2004-03-12 14:00:00",1287,1252,1206,1263,1350,1545
"2004-03-12 15:00:00",1353,1287,1252,1206,1263,1350
"2004-03-12 16:00:00",1309,1353,1287,1252,1206,1263
"2004-03-12 17:00:00",1274,1309,1353,1287,1252,1206
"2004-03-12 18:00:00",1510,1274,1309,1353,1287,1252
"2004-03-12 19:00:00",1525,1510,1274,1309,1353,1287
"2004-03-12 20:00:00",1843,1525,1510,1274,1309,1353
"2004-03-12 21:00:00",1598,1843,1525,1510,1274,1309
"2004-03-12 22:00:00",1484,1598,1843,1525,1510,1274
"2004-03-12 23:00:00",1677,1484,1598,1843,1525,1510
"2004-03-13 00:00:00",1280,1677,1484,1598,1843,1525
"2004-03-13 01:00:00",1196,1280,1677,1484,1598,1843
"2004-03-13 02:00:00",1184,1196,1280,1677,1484,1598
"2004-03-13 03:00:00",1172,1184,1196,1280,1677,1484
"2004-03-13 04:00:00",1147,1172,1184,1196,1280,1677
"2004-03-13 05:00:00",978,1147,1172,1184,1196,1280
"2004-03-13 06:00:00",1100,978,1147,1172,1184,1196
"2004-03-13 07:00:00",1112,1100,978,1147,1172,1184
"2004-03-13 08:00:00",1336,1112,1100,978,1147,1172
"2004-03-13 09:00:00",1408,1336,1112,1100,978,1147
"2004-03-13 10:00:00",1447,1408,1336,1112,1100,978
